a.name,e.latitude,e.longitude,e.city,e.type,e.startdate,e.venue
Franz Kunz,51.05,13.75,Dresden,group,1906,Ausstellungsgebäude auf der Brühlesche Terrasse
Karl Ferdinand Lederer Weida,51.05,13.75,Dresden,group,1906,Ausstellungsgebäude auf der Brühlesche Terrasse
August Leonhardi,51.05,13.75,Dresden,group,1906,Ausstellungsgebäude auf der Brühlesche Terrasse
Hans von Loesch,51.05,13.75,Dresden,group,1906,Ausstellungsgebäude auf der Brühlesche Terrasse
Carl Theodor Marbach,51.05,13.75,Dresden,group,1906,Ausstellungsgebäude auf der Brühlesche Terrasse
Paul Mayenfisch,51.05,13.75,Dresden,group,1906,Ausstellungsgebäude auf der Brühlesche Terrasse
Otto Wilhelm Merseburg,51.05,13.75,Dresden,group,1906,Ausstellungsgebäude auf der Brühlesche Terrasse
Johannes Mogk,51.05,13.75,Dresden,group,1906,Ausstellungsgebäude auf der Brühlesche Terrasse
Johannes Rudolf Müller,51.05,13.75,Dresden,group,1906,Ausstellungsgebäude auf der Brühlesche Terrasse
Lisbeth Naumann,51.05,13.75,Dresden,group,1906,Ausstellungsgebäude auf der Brühlesche Terrasse
Ludwig Otto,51.05,13.75,Dresden,group,1906,Ausstellungsgebäude auf der Brühlesche Terrasse
Anton Josef Pepino,51.05,13.75,Dresden,group,1906,Ausstellungsgebäude auf der Brühlesche Terrasse
Max Pietschmann,51.05,13.75,Dresden,group,1906,Ausstellungsgebäude auf der Brühlesche Terrasse
Paul Poetzsch,51.05,13.75,Dresden,group,1906,Ausstellungsgebäude auf der Brühlesche Terrasse
Hermann Prell,51.05,13.75,Dresden,group,1906,Ausstellungsgebäude auf der Brühlesche Terrasse
Wilhelm Georg Ritter,51.05,13.75,Dresden,group,1906,Ausstellungsgebäude auf der Brühlesche Terrasse
Moritz Rödig,51.05,13.75,Dresden,group,1906,Ausstellungsgebäude auf der Brühlesche Terrasse
Osmar Schindler,51.05,13.75,Dresden,group,1906,Ausstellungsgebäude auf der Brühlesche Terrasse
Annie Seifert,51.05,13.75,Dresden,group,1906,Ausstellungsgebäude auf der Brühlesche Terrasse
