name,birth_year,death_year,gender,nationality,placeofbirth,placeofdeath
Vera Efimovna Pestel',1888,1952,F,RU,Moscow,Moscow
Lyubov' Popova,1889,1924,F,RU,Ivanovskoye,Moscow
Jean Pougny,1892,1956,M,RU,Repino,Paris
Ol'ga Rozanova,1886,1918,F,RU,Melenki,Moscow
Vladimir Tatlin,1885,1953,M,UA,Kharkov,Novodevichye
Nadezhda Udal'tsova,1886,1961,F,RU,Orel,Moscow
Mikhail Ivanovich Menkov,1885,1926,M,RU,Vilnius,Yalta
Robert Fa'lk,1886,1958,M,RU,Moscow,Moscow
Bedřich Feigl,1884,1965,M,CZ,Prague,London
Lyonel Feininger,1871,1956,M,US,New York,New York
Emil Filla,1882,1953,M,CZ,Chropyně,Prague
Pavel Filonov,1883,1941,M,RU,Moscow,Saint Petersburg
Bernhard Dorotheus Folkestad,1879,1933,M,NO,London,Christiania (Oslo)
Artur Fonvizin,1883,1973,M,RU,Riga,Moscow
Othon Friesz,1879,1949,M,FR,Le Havre,Paris
Roger Fry,1866,1934,M,GB,London,London
Akseli Gallen-Kallela,1865,1931,M,FI,Pori,Stockholm
Paul Gauguin,1848,1903,M,FR,Paris,Atuona
Aleksandr Fedorovich Gaush,1873,1947,M,RU,Saint Petersburg,Simferopol
Mark Gertler,1891,1939,M,GB,Spitalfields,London
Leo Gestel,1881,1941,M,NL,Woerden,Hilversum
Augusto Giacometti,1877,1947,M,CH,Stampa,Zurich
Giovanni Giacometti,1868,1933,M,CH,Stampa,Glion
Harold Gilman,1876,1919,M,GB,Rode,London
Charles Ginner,1878,1952,M,GB,Cannes,London
Pierre Paul Girieud,1876,1948,M,FR,Paris,Paris
William James Glackens,1870,1938,M,US,Philadelphia,"Westport, Connecticut"
Albert Gleizes,1881,1953,M,FR,Paris,Avignon
Natalia Goncharova,1881,1962,F,RU,Tula,Paris
Spencer Gore,1878,1914,M,GB,Epsom,Surrey
Duncan Grant,1885,1978,M,GB,Aviemore,Aldermaston
Juan Gris,1887,1927,M,ES,Madrid,Boulogne-Billancourt
Alexis Gritchenko,1883,1977,M,RU,Krolevets,Vence
Isaac Grünewald,1888,1946,M,SE,Stockholm,Norway
Charles-François-Prosper Guérin,1875,1939,M,FR,Sens,Paris
Otto Gutfreund,1889,1927,M,CZ,Dvůr Králové,Prague
Hermann Haller,1880,1950,M,CH,Bern,Zurich
Marsden Hartley,1877,1943,M,US,"Lewiston, Maine","Ellsworth, Maine"
Ferenc Hatvany,1881,1958,M,HU,Budapest,Lausanne
Henri Hayden,1883,1970,M,PL,Warsaw,Paris
Erich Heckel,1883,1970,M,DE,Döbeln,Radolfzell
Jean Heiberg,1884,1976,M,NO,Christiania (Oslo),Christiania (Oslo)
Walter Helbig,1878,1968,M,DE,"Falkenstein, Saxony",Ascona
Robert Henri,1865,1929,M,US,Cincinnati,New York
Auguste Herbin,1882,1960,M,FR,Quiévy,Paris
Sigrid Hjertén,1885,1948,F,SE,Sundsvall,Stockholm
Ferdinand Hodler,1853,1918,M,CH,Bern,Geneva
