name,birth_year,death_year,gender,nationality,placeofbirth,placeofdeath
Giovanni Vianello,1873,1926,M,IT,Padua,Padua
Tito Lessi,1858,1917,M,IT,Florence,Florence
Guido Di Montezemolo,1878,1941,M,IT,Mondovì,Turin
Guido Grimani,1871,1933,M,IT,Trieste,Trieste
Lorenzo Cecconi,1863,1947,M,IT,Rome,Rome
Guillaume Dubufe,1853,1909,M,FR,Paris,Buenos Aires
Enric Serra Auqué,1859,1918,M,IT,Barcelona,Rome
Cesare Saccaggi,1868,1934,M,IT,Tortona,Tortona
Ernesto Serra,1860,1915,M,IT,Varallo,Turin
Guglielmo Ciardi,1842,1917,M,IT,Venice,Venice
Beppe Ciardi,1875,1932,M,IT,Venice,Quinto di Treviso
Emma Ciardi,1879,1933,F,IT,Venice,Venice
Italico Brass,1870,1943,M,IT,Gorizia,Venice
Umberto Martina,1880,1945,M,IT,Budoia,Tauriano
Camillo Bortoluzzi,1868,1933,M,IT,Treviso,Dolo
Zaccaria Dal Bo',1872,1935,M,IT,Venice,Venice
Ferruccio Scattola,1873,1950,M,IT,Venice,Rome
Lino Selvatico,1872,1924,M,IT,Padua,Treviso
Luigi Selvatico,1873,1938,M,IT,Venice,Roncade
Gugliemo Talamini,1868,1917,M,IT,Vodo di Cadore,Faenza
Albert Zardo,1876,1959,M,IT,Padova,Florence
Gennaro Favai,1879,1958,M,IT,Venice,Venice
Alberto Micheli-Pellegrini,1870,1943,M,IT,Florence,Florence
Giuseppe Carosi,1883,1965,M,IT,Rome,Rome
Ercole Sibellato,1878,1963,M,IT,Riviera del Brenta,Venice
Guido Marussig,1885,1938,M,IT,Trieste,Gorizia
Alberto Stringa,1880,1931,M,IT,Caprino Veronese,Caprino Veronese
Gaetano Cresseri,1870,1933,M,IT,Brescia,Brescia
Ettore Tito,1859,1941,M,IT,Castellammare di Stabia,Venice
Augusto Carutti,1875,1956,M,IT,Turin,Turin
Eugenio G. Olivari,1862,1917,M,IT,Genoa,Genoa
Paolo Ferretti,1866,1938,M,IT,Subiaco,Bologna
Carlo Parmeggiani,1881,1967,M,IT,Ferrara,Tradate
Marco Calderini,1850,1941,M,IT,Turin,Turin
Lodovico Tommasi,1866,1941,M,IT,Livorno,Florence
Galileo Chini,1873,1956,M,IT,Florence,Florence
Giuseppe Graziosi,1879,1942,M,IT,Modena,Florence
Plinio Nomellini,1866,1943,M,IT,Livorno,Florence
Rubens Santoro,1859,1942,M,IT,Mongrassano,Naples
Umberto Prencipe,1879,1962,M,IT,Naples,Rome
Charlotte Popert,1848,1918,F,GB,Hamburg,Rome
Max Roeder,1866,1947,M,DE,Mönchengladbach,Rome
Thyra af Kleen,1874,1951,F,SE,Stockholm,Lidingö
Ernestina Orlandini,1869,1965,F,DE,Hanau,Florence
Frieda Labriola Menshausen,1861,1939,F,DE,Stendal,Assisi
Louise Breslau,1856,1927,F,CH,Munich,Neuilly-sur-Seine
Ida Salvagnini Bidoli,1866,1945,F,IT,Trieste,Rome
Charlotte Chauchet Guillere,1878,1964,F,FR,Charleville,Paris
Julie Wolfthorn,1868,1944,F,DE,Toruń,Terezín
Amalia Besso,1856,1932,M,IT,Trieste,Rome
Charles Doudelet,1861,1938,M,BE,Rijsel,Ghent
Moses Levy,1885,1968,M,IT,Tunis,Viareggio
Gustavo Simoni,1846,1926,M,IT,Rome,Palestrina
Karl Anderson,1874,1956,M,US,"Oxford, Ohio","Westport, Connecticut"
Paul Burlin,1886,1969,M,US,New York,New York
Daniel Putnam Brinley,1879,1963,M,US,Newport,New Canaan
Edith Woodman Burroughs,1871,1916,F,US,Riverdale,Flushing
Edith Varian Cockcroft,1881,1962,F,US,Brooklyn,"Ramapo, New York"
Samuel Halpert,1884,1930,M,US,Białystok,Detroit
Henry Lee McFee,1886,1953,M,US,Saint Louis,Altadena
Charles P. Reiffel,1862,1942,M,US,Indianapolis,San Diego
Vincenzo Volpe,1854,1929,M,IT,Grottaminarda,Naples
Eugene Edward Speicher,1883,1962,M,US,Buffalo,Woodstock
Allen Tucker,1866,1939,M,US,New York,New York
Walter Ast,1884,1976,M,DE,Ravensburg,Reutlingen
Eduard Baudrexel,1890,1968,M,DE,Munich,Munich
Max Bauer,1886,1951,M,DE,Stuttgart,Stuttgart
Hermann Betke,1881,1966,M,DE,Bremen,Tübingen
Ludwig Bock,1886,1971,M,DE,Munich,Munich
Fritz Burger-Mühlfeld,1882,1969,M,DE,Augsburg,Hanover
Ferdinand Burger,1879,1953,M,DE,Hildburghausen,Berlin
Bernhard Buttersack,1858,1925,M,DE,Bad Liebenzell,Icking
Leopold Durm,1878,1918,M,DE,Karlsruhe,Karlsruhe
Heinrich Eberhard,1884,1973,M,DE,Ellwangen,Stuttgart
Friedrich Eckenfelder,1861,1938,M,DE,Bern,Balingen
Albin Egger-Lienz,1868,1926,M,AT,Stribach,St. Justina bei Bozen
Ernst Wilhelm Eitner,1867,1955,M,DE,Hamburg,Hamburg
Horst Eysoldt,1886,1934,M,DE,Dresden,Neuburg am Inn
Paul Frost,1891,1976,M,DE,Köthen,Wierschem
Josse Goossens,1876,1929,M,DE,Aachen,Regensburg
Emilie Hallavanya,1874,1960,F,HR,Pula,Munich
Friedrich Hell,1869,1957,M,AT,Uderns,Uderns
Ernst (II.) Hodel,1881,1955,M,CH,Münsingen,Luzern
Conrad Hommel,1883,1971,M,DE,Mainz,Sielbeck
Julius Hüther,1881,1954,M,DE,Cannstatt,Munich
Peter Kalman,1877,1948,M,HU,Žabalj,Nußdorf am Inn
Oswald Krobshofer,1883,1960,M,DE,Prague,Leipzig
Hans Beyer,1878,1963,M,CH,Bern,Ftan
Sandor Kubinyi,1875,1949,M,HU,Debrecen,Munich
Martin Brandenburg,1870,1919,M,DE,Poznań,Stuttgart
Emile Claus,1849,1924,M,BE,Sint-Eloois-Vijve,Astene
Johan Cohen Gosschalk,1873,1912,M,NL,Zwolle,Amsterdam
Stanisław Lentz,1861,1920,M,PL,Warsaw,Warsaw
Georg Einbeck,1870,1951,M,DE,Golluschütz (Westpreussen),Luzern
Otto Feldmann,1881,1942,M,DE,Vienna,Sobibór
Albert Maennchen,1873,1935,M,DE,Rudolstadt,Berlin
Otto Feld,1860,1911,M,DE,Breslau,Potsdam
Guido Maffei,1838,1922,M,DE,Munich,Munich
Cornelis Johannes Maks,1876,1967,M,NL,Amsterdam,Amsterdam
Max Giesecke,1866,1934,M,DE,Berlin,Pisa
Karl Hagemeister,1848,1933,M,DE,Werder (Havel),Werder (Havel)
Julius Hess,1878,1957,M,DE,Stuttgart,Pöcking
Gustav Meyer-Buchwald,1881,1918,M,DE,Dresden,Gits
Hans Molfenter,1884,1979,M,DE,Neu-Ulm,Stuttgart
John Höxter,1884,1938,M,DE,Hanover,Berlin
Hans Müller-Dachau,1877,1925,M,DE,Hanover,Dachau
Rudolf Mülli,1882,1962,M,CH,Dielsdorf,Zurich
Friedrich Latendorf,1866,1935,M,DE,Schwerin,Schwerin
Henry Niestlé,1876,1966,M,CH,Neuchatel,Dachau
Max Obermayer,1866,1948,M,DE,Munich,Munich
Wilhelm Oertel,1870,1933,M,DE,Frankfurt am Main,Mannheim
Rudolf Otto,1887,1962,M,DE,Velký Šenov,Dresden
Hermann Pampel,1867,1935,M,DE,Mohlsdorf,Munich
Franz Reinhardt,1881,1946,M,DE,Helmstedt,Lenzfried
Carl Reiser,1877,1950,M,DE,Partenkirchen,Garmisch-Partenkirchen
Klaus Richter,1887,1948,M,DE,Berlin,Berlin
Fritz Neuhaus,1852,1922,M,DE,Elberfeld,Düsseldorf
Adolf Oberländer,1845,1923,M,DE,Regensburg,Munich
Paul Roloff,1877,1951,M,DE,Gut Jerchel Kreis Stendal,Prien am Chiemsee
Walter Alfred Rosam,1883,1916,M,DE,Hamburg,Ukraine
Lucien Simon,1861,1945,M,FR,Paris,Paris
Josef Schmid-Fichtelberg,1877,1964,M,DE,Munich,Bernau am Chiemsee
Carl Schuch,1846,1903,M,AT,Vienna,Vienna
Heinrich Schröder,1881,1942,M,DE,Krefeld,Innsbruck
Malgonia Stern,1871,1914,F,DE,Hamburg,Berlin
Wilhelm Stumpf,1873,1926,M,DE,Weimar,Oberstaufen
Ludwig Stutz,1865,1917,M,DE,Hoheneck,Illenau
Rudolf Tewes,1879,1965,M,DE,Bremen,Bremen
Gregori Aminoff,1883,1947,M,SE,Stockholm,Stockholm
German Vassilievic Fedorov,1885,1976,M,RU,D'yakovo,Moscow
Ivan Fedotov,1881,1951,M,RU,Moscow,Moscow
István Csók,1865,1961,M,HU,Pusztaegeres,Budapest
Károly Ferenczy,1862,1917,M,HU,Vienna,Budapest
Adolf Fényes,1867,1945,M,HU,Kecskemét,Budapest
Valér Ferenczy,1885,1954,M,HU,Kremnica,Budapest
Béla Iványi-Grünwald,1867,1940,M,HU,Somogyszob,Budapest
Pál Jávor,1880,1923,M,HU,Budapest,Budapest
Ödön Kacziány,1852,1933,M,HU,Tîrgu Mureș,Budapest
Gyula Kosztolányi-Kann,1868,1945,M,HU,Budapest,Budapest
Gusztáv Magyar-Mannheimer,1859,1937,M,HU,Budapest,Budapest
Paul Bach,1866,1919,M,DE,Dresden,Berlin
Karl Albiker,1878,1961,M,DE,Ühlingen,Ettlingen
Karl Arnold,1883,1953,M,DE,Neustadt bei Coburg,Munich
Walter Bangerter,1891,1962,M,CH,Langenthal,Geneva
Bernhard Bleeker,1881,1968,M,DE,Münster,Munich
Oskar Coester,1886,1955,M,DE,Frankfurt am Main,Dachau
Max Feldbauer,1869,1948,M,DE,Neumarkt in der Oberpfalz,Oberschneiding
Robert Genin,1884,1941,M,RU,Vysokoye,Moscow
Rudolf Grossmann,1882,1941,M,DE,Freiburg im Breisgau,Freiburg im Breisgau
Oskar Hermann-Lamb,1876,1947,M,AT,Trieste,Vienna
Gustav Jagerspacher,1879,1929,M,DE,Gmund am Tegernsee,Munich
Eugen von Kahler,1882,1911,M,CZ,Prague,Prague
George Kars,1882,1945,M,CZ,Kralupy nad Vltavou,Geneva
Otto Kopp,1879,1947,M,DE,Munich,Munich
Hans Lichtenberger,1876,1957,M,DE,Berlin,Munich
Alfred Heinrich Pellegrini,1881,1958,M,CH,Basel,Basel
Grete Pohl,1871,1968,F,DE,Prague,London
Walter Püttner,1872,1953,M,DE,Leipzig,Bad Aibling
Walter Ruttmann,1887,1941,M,DE,Frankfurt am Main,Berlin
Werner Schmidt,1888,1964,M,DE,Nauendorf (Georgenthal),Munich
Julius Wolfgang Schuelein,1881,1970,M,DE,Munich,New York
Rudolf Seebold,1889,1918,M,DE,Berlin,Verdun-sur-Meuse
Otto Theodor Wolfgang Stein,1877,1958,M,DE,Žatec,Frýdlant
Walther Teutsch,1883,1964,M,DE,Brașov,Munich
Wilhelm Thöny,1888,1949,M,AT,Graz,New York
Hugo Troendle,1882,1955,M,DE,Bruchsal,Munich
Max Unold,1885,1964,M,DE,Memmingen,Munich
László Mednyánszky,1852,1919,M,HU,Beckov,Vienna
Sandor Nyilasy,1873,1934,M,HU,Szeged,Szeged
Izsák Perlmutter,1866,1932,M,HU,Buda,Budapest
István Réti,1872,1945,M,HU,Baia Mare,Budapest
Marcus Behmer,1879,1958,M,DE,Weimar,Berlin
Henry Bing,1888,1965,M,FR,Paris,Paris
Hans Am Ende,1864,1918,M,DE,Trier,Stettin
Gino DeFinetti,1877,1955,M,DE,Pazin,Gorizia
Karl Hänny,1879,1972,M,CH,Twann,Ligerz
Hans Hartig,1873,1936,M,DE,Karvin,Berlin
Sella Hasse,1878,1963,F,DE,Bitterfeld,Berlin
Alexander Hoffmann,1878,1967,M,DE,Grimma,Schleswig
Meinhard Jacoby,1873,1956,M,DE,Vienna,Paraíba do Sul
Gustava Iselin-Haeger,1878,1962,F,CH,Berlin,Basel
Gertrud Kunowski,1877,1960,F,DE,Bydgoszcz,Schönau am Königssee
Pál Szinyei Merse,1845,1920,M,HU,Sýňovská Nowá Wes,Jarovnice
János Thorma,1870,1937,M,HU,Kiskunhalas,Baia Mare
Caesar Kunwald,1870,1946,M,AT,Graz,Copenhagen
János Vaszary,1867,1939,M,HU,Kaposvár,Budapest
Ernst Matthes,1878,1918,M,DE,Bremen,Dusseldorf
Richard Müller,1874,1954,M,DE,Tschernitz,Dresden
Paul Scheurich,1883,1945,M,DE,New York,Brandenburg an der Havel
Irmgard Schmidt-Busch,1875,1952,F,DE,Riga,Weimar
Hermann Struck,1876,1944,M,DE,Berlin,Haifa
Ignatius Taschner,1871,1913,M,DE,Bad Kissingen,Mitterndorf (Dachau)
Lajos Zombory,1867,1933,M,HU,Szeged,Szolnok
John Jack Vrieslander,1879,1957,M,DE,Münster,Grabenstätt
Hedwig Weiß,1860,1923,F,DE,Königsberg,Berlin
Ludwig von Herterich,1856,1932,M,DE,Ansbach,Etzenhausen
Alois Hänisch,1866,1937,M,AT,Vienna,Vienna
Hubert von Heyden,1860,1911,M,DE,Berlin,Munich
Robert Engels,1866,1926,M,DE,Solingen,Munich
Fritz Voellmy,1863,1939,M,CH,Basel,Basel
Georg Flad,1853,1913,M,DE,Heidelberg,Dachau
Adelbert Niemeyer,1867,1932,M,DE,Warburg,Munich
Eugen Kirchner,1865,1938,M,DE,Halle,Munich
Ture Ander,1881,1958,M,SE,Asker,Arvika
Tor Bjurström,1888,1966,M,SE,Stockholm,Gothenburg
Gabriel Burmeister,1886,1946,M,SE,Karlshamn,Timmernabben
Arthur Carlsson Percy,1886,1976,M,SE,Vickleby,Vickleby
Knut Janson,1882,1966,M,SE,Vallentuna,Stockholm
Gunnar Lundh,1882,1950,M,SE,Kappsta slott,Stockholm
Arvid Nilsson,1881,1971,M,SE,Kopparberg,Lidingö
Carl Magnus Ryd,1883,1958,M,SE,"Lekaryd, Småland",Växjö
Birger Simonsson,1883,1938,M,SE,Uddevalla,Stockholm
Sigfrid Ullman,1886,1960,M,SE,Varberg,Gothenburg
Manuel Ortiz de Zárate,1887,1946,M,CL,Como,Los Angeles
Károly Pongrácz,1872,1930,M,HU,Szottina,Cabaj-Čápor
Felix Widder,1874,1939,M,HU,Arad,Budapest
Artúr Jakobovits,1880,1945,M,HU,Fenyőháza,Budapest
István Fanta-Alkony,1884,1942,M,HU,Pécs,Pestlőrinc
William Darling,1882,1963,M,HU,Șandra,Laguna Beach
Gyula Ruszti,1885,1918,M,HU,Lučenec,Szolnok
Lajos Csordák,1864,1937,M,SK,Košice,Košice
Béla Vidovszky,1883,1973,M,HU,Gyomaendröd,Budapest
Vincent Bánsághi,1881,1960,M,HU,Reșiţa,Chl'aba
Hermann Benjámin,1881,1942,M,HU,Cluj-Napoca,Budapest
Alcide-Marie Le Beau,1872,1943,M,FR,Lorient,Sanary-sur-Mer
Fritz Boehle,1873,1916,M,DE,Emmendingen,Frankfurt am Main
Gustav Johannes Buchner,1880,1951,M,DE,Munich,Schliersee
Alfréd Feiks,1880,1953,M,HU,Slavonski Brod,Polgardi
Jules Leon Flandrin,1871,1947,M,FR,Corenc,Paris
Erich Gruner,1881,1966,M,DE,Leipzig,Leipzig
Wenzel Hablik,1881,1934,M,CZ,Most,Itzehoe
Rudolf Hammer,1882,1957,M,DE,Olsztynek,Ballenstedt
Jozef Israëls,1824,1911,M,NL,Groningen,"Hague, The"
Ludvig Luplau Janssen,1869,1927,M,DK,Sørbymagle Sogn,Copenhagen
Friedrich von Khaynach,1867,1920,M,DE,Hamm,Berlin
Paul Kleinschmidt,1883,1949,M,DE,Bobolice,Bensheim
Oskar Kruse-Lietzenburg,1847,1919,M,DE,Stettin,Kloster (Hiddensee)
Jakob Nussbaum,1873,1936,M,DE,Rhina,Kinneret
Hans Olde,1855,1917,M,DE,Süderau,Kassel
Fritz Frank,1871,1945,M,AT,Frankenmarkt,Werfenweng
Jan Veth,1864,1925,M,NL,Dordrecht,Amsterdam
Arnold Waldschmidt,1873,1958,M,DE,Weimar,Stuttgart
Frederick T. Weber,1883,1956,M,US,"Columbia, South Carolina",Astoria
Paul Wilhelm,1886,1965,M,DE,Greiz,Radebeul
Richard Seiffert-Wattenberg,1874,1945,M,DE,Brunswick,Einbeck
Adolf Strübe,1881,1973,M,DE,Maulburg,Schopfheim
Günther Stüdemann,1890,1981,M,DE,Berlin,Thurnau
Paul Thalheimer,1884,1948,M,DE,Heilbronn,Schrobenhausen
Auguste Baillayre,1879,1961,M,FR,Vernet-les-Bains,Bucharest
Sofia Baudouin de Courtenay,1889,1967,F,PL,Yur'ev (Tartu),Warsaw
Veniamin Pavlovic Belkin,1884,1951,M,RU,Verkhoturye,Saint Petersburg
Anna Zelmanova,1890,1948,F,RU,Moscow,USA
Evgeniy Yakovlevich Sahajdačnyj,1886,1961,M,UA,Kherson,Kosiv
Victor Barthe,1887,1954,M,RU,Stavropol,Paris
Fritz Wimmer,1879,1960,M,DE,Rochlitz,Neuburg am Inn
Karl Windels,1869,1954,M,DE,Bremen,Bremen
Otto Wyler,1887,1965,M,CH,Mumpf,Aarau
Oskar Zwintscher,1870,1916,M,DE,Leipzig,Dresden
Georg Greve-Lindau,1876,1963,M,DE,Katlenburg-Lindau,Duderstadt
Olaf Gulbransson,1873,1958,M,NO,Christiania (Oslo),Tegernsee
Hans Hofmann,1880,1966,M,US,Weissenburg in Bayern,New York
Josef Plenk,1886,1967,M,AT,Vienna,Frankfurt am Main
Ferdinand Staeger,1880,1976,M,DE,Třebíč,Waldkraiburg
Magnus Zeller,1888,1972,M,DE,Biesenrode,Caputh
Carl Albrecht,1862,1926,M,DE,Hamburg,Königsberg
Fritz Baer,1850,1919,M,DE,Munich,Munich
Hans von Bartels,1856,1913,M,DE,Hamburg,Munich
Julius Hugo Bergmann,1861,1940,M,DE,Nordhausen,Karlsruhe
Carl Blos,1860,1941,M,DE,Mannheim,Munich
Eugen Felix Prosper Bracht,1842,1921,M,DE,Morges,Darmstadt
Otto Heinrich Engel,1866,1949,M,DE,Erbach im Odenwald,Glücksburg
Oskar Frenzel,1855,1915,M,DE,Berlin,Berlin
Otto Heichert,1868,1946,M,DE,Gröningen,Oberschönau
Hans Herrmann,1858,1942,M,DE,Berlin,Berlin
Olof August Andreas Jernberg,1855,1935,M,SE,Düsseldorf,Berlin
Friedrich Kallmorgen,1856,1924,M,DE,Altona,Karlsruhe
Arthur Kampf,1864,1950,M,DE,Aachen,Castrop-Rauxel
Eugen Kampf,1861,1933,M,DE,Aachen,Dusseldorf
Friedrich August von Kaulbach,1850,1920,M,DE,Munich,Ohlstadt
Friedrich Klein-Chevalier,1862,1938,M,DE,Dusseldorf,Wiesbaden
Arthur Langhammer,1854,1901,M,DE,Lützen,Dachau
Franz Seraph von Lenbach,1836,1904,M,DE,Schrobenhausen,Munich
Ludwig von Löfftz,1845,1910,M,DE,Darmstadt,Munich
Hans Looschen,1859,1923,M,DE,Berlin,Berlin
Adolph Menzel,1815,1905,M,DE,Breslau,Berlin
Paul Friedrich Meyerheim,1842,1915,M,DE,Berlin,Berlin
Adolf Münzer,1870,1953,M,DE,Pszczyna,Landsberg am Lech
Hans Petersen,1850,1914,M,DE,Husum,Munich
Paul René Reinicke,1860,1926,M,DE,Strenznaundorf,Steingaden
Gustav Schönleber,1851,1917,M,DE,Bietigheim,Karlsruhe
Rudolf Schulte im Hofe,1865,1928,M,DE,Ückendorf,Berlin
Johann Sperl,1840,1914,M,DE,Buch (Nuremberg),Bad Aibling
Eduard Thöny,1866,1950,M,AT,Brixen,Holzhausen am Ammersee
Hugo Vogel,1855,1934,M,DE,Magdeburg,Berlin
Szilárd Kővári,1882,1916,M,SK,Košice,Košice
Ervin Körmendi-Frimm,1885,1939,M,HU,Budapest,Budapest
Margit Pogány,1879,1964,F,HU,Budapest,Canberra
Josef Achmann,1885,1958,M,DE,Regensburg,Schliersee
Adrian Paul Allinson,1890,1959,M,GB,London,London
Oumbertos Argyros,1882,1963,M,GR,Kavála,Athens
Otto Arndts,1879,1963,M,DE,Unna,Berlin
Jan Autengruber,1887,1920,M,CZ,Pacov,Prague
Paul Basilius Barth,1881,1955,M,CH,Basel,Riehen
Hans Barthelmess,1887,1916,M,DE,Erlangen,Verdun-sur-Meuse
Fritz Beckert,1877,1962,M,DE,Leipzig,Dresden
Victor von Belányi,1877,1955,M,HU,Nyitraludány,Budapest
Paul Benedict,1889,1952,M,DE,Nuremberg,Nuremberg
Max Beringer,1886,1961,M,DE,Mindelheim,Memmingen
Anna Bernstein,1884,1919,F,DE,Neustadt an der Orla,Munich
Willibald Besta,1886,1949,M,DE,Ratibor,Munich
Richard Bloos,1878,1956,M,DE,Brühl (Rhineland),Dusseldorf
Michael Brunthaler,1890,1915,M,DE,Cologne,Sommepy-Tahure
Max Burgmeier,1881,1947,M,CH,Aarau,Aarau
Susanne Carvallo-Schülein,1883,1972,F,DE,Paris,New York
Edward Cucuel,1875,1954,M,US,San Francisco,Pasadena
Frantisek Zdenek Eberl,1888,1962,M,CZ,Prague,Paris
Franz Eichhorst,1885,1948,M,DE,Berlin,Innsbruck
Hermann Eissfeldt,1875,1929,M,DE,Schladen,Munich
Gustav Essig,1880,1962,M,DE,Truchtelfingen,Murrhardt
Reinhold Ewald,1890,1974,M,DE,Hanau,Hanau
Anna Costenoble,1863,1930,F,DE,Danzig,Vienna
Arnold Faber,1879,1934,M,DE,Kiel,Munich
Carl Faber,1885,1962,M,DE,Schwäbisch Gmünd,Munich
Karl Fahringer,1874,1952,M,AT,Vienna,Vienna
Georges Léon Dufrenoy,1870,1943,M,FR,Thiais,Salles-Arbuissonnas-en-Beaujolais
Otto Gadau,1885,1936,M,DE,Staßfurt,Berlin
Fritz Gärtner,1882,1958,M,CZ,Ústí nad Labem,Munich
Konrad Ferdinand von Freyhold,1878,1944,M,DE,Freiburg im Breisgau,Zähringen
Karl Gatermann,1883,1959,M,DE,Mölln,Ratzeburg
Nicholas Gilles,1870,1939,M,DE,Mönchengladbach,Wiesbaden
Rudolf Hause,1877,1961,M,DE,Brodnica,Munich
Ernst Graeser,1884,1944,M,DE,Brașov,Stuttgart
Stanley Grimm,1891,1966,M,GB,London,London
Fritz Max Hofmann-Juan,1873,1937,M,DE,Dresden,Dresden
Max Hagen,1862,1914,M,DE,Flensburg,Schliersee
Otto Lang,1881,1958,M,DE,Kassel,San Remo
Herman Hartmann-Drewitz,1879,1966,M,DE,Berlin,Eutin
Otto Rauth,1862,1922,M,DE,Heilbronn,Hanover
Fritz Rumpf,1856,1927,M,DE,Frankfurt am Main,Potsdam
Otto Schmidt-Cassella,1876,1954,M,DE,Wiesbaden,Wiesbaden
József Bálint,1886,1957,M,HU,Zádorfalva,Sárospatak
Kata Kalivoda,1877,1936,F,HU,Letenye,Szurdokpüspöki
Artúr Lakatos,1880,1968,M,HU,Vienna,Budapest
Nándor Katona,1864,1932,M,HU,Spišská Stará Ves,Budapest
Jenő Keményffy,1875,1920,M,HU,Budapest,Budapest
Gyula Conrad,1877,1959,M,HU,Budapest,Budapest
Gyula Glatter,1886,1927,M,HU,Munich,Budapest
Jenő Körmendi-Frim,1886,1959,M,HU,Budapest,"Washington, D.C."
Zoltán Veress,1868,1935,M,HU,Cluj-Napoca,Budapest
Gabriella Rainerné Istvánffy,1875,1964,F,HU,Budapest,Budapest
László Kézdi Kovács,1864,1942,M,HU,Pusztalsócikola,Budapest
Arthur Heyer,1872,1931,M,DE,Haarhausen,Budapest
János Kléh,1881,1919,M,HU,Makó,Budakeszi
Irén Lámné Hilberth,1872,1925,F,HU,Budapest,Budapest
Bartholomäus Hollaus,1877,1943,M,DE,"Reitrain, Tegernsee",Munich
Melanie Alice Jooss,1883,1940,F,DE,Stuttgart,Munich
Berta Kaiser,1875,1962,F,DE,Kitzingen,Munich
Hans Kempen,1874,1930,M,DE,Cologne,Dresden
Gottlob Gottfried Klemm,1872,1955,M,DE,Stuttgart,Munich
Franz Klemmer,1879,1964,M,DE,Fischenich,Anzing
Reinhold Koeppel,1887,1950,M,DE,Oschersleben,Waldhäuser
Albert Kohler,1883,1946,M,CH,Basel,Ascona
Josef Kuisl,1884,1969,M,DE,Lauingen,Lenggries
Eduard Lammert,1867,1957,M,DE,Ochsenfurt,Rimsting
Max Landschreiber,1880,1961,M,DE,Mittweida,Fürstenfeldbruck
Hans Lesker,1879,1914,M,DE,Munich,Avocourt
Ernst Liebermann,1869,1960,M,DE,Meiningen,Beuerberg
Hermann Peters,1886,1970,M,DE,Gelsenkirchen,Eschenlohe
Martha Pilliet-Strelitz,1883,1941,F,DE,Hamburg,Munich
Rudolf Pleissner,1889,1977,M,DE,Chemnitz,Berlin
Alfred Pöll,1867,1929,M,AT,Oberndorf bei Salzburg,Gmunden
Rudolf Poeschmann,1878,1954,M,DE,Plauen,Dresden
Otto Quante,1875,1947,M,DE,Minden,Naumburg
Georg Rall,1885,1952,M,DE,Munich,Munich
Hilla Rebay,1890,1967,F,US,Strasbourg,"Westport, Connecticut"
Carl Reber,1870,1931,M,CH,Basel,Basel
Armin Reumann,1889,1952,M,DE,Sonneberg,Sonneberg
Josef Schmid,1842,1914,M,IT,Bolzano,Innsbruck
Richard Ferdinand Schmitz,1876,1950,M,DE,Gonzenheim,Munich
Carl Max Schultheiss,1885,1961,M,US,Nuremberg,New York
Ernst Schwartz,1883,1932,M,DE,Breslau,Berlin
Susanne Schwob,1888,1967,F,CH,Bern,Bern
Alfred Souci,1879,1963,M,DE,Munich,Fischbachau
Sidonie Springer,1878,1937,F,CZ,Teplice nad Metují,Pritzwalk
Julius Szent-Istványi,1881,1930,M,HU,Vihnye,Budapest
Emil Thoma,1869,1948,M,DE,Enge,Riedering
Curt Ullrich,1873,1946,M,DE,Schkeuditz,Munich
Hans Weber-Tyrol,1874,1957,M,AT,Schwaz,Merano
Otto Weil,1884,1929,M,DE,Friedrichsthal,Saarbrücken
Carl Wiederhold,1863,1961,M,DE,Hanover,Bückeburg
Karoly Bachmann,1874,1924,M,HU,Budapest,Budapest
Ivan Tišov,1870,1928,M,HR,Viškovci,Zagreb
Gusztáv Kőszegi-Brandl,1862,1908,M,HU,Sopron,Budapest
Béla Gross,1835,1914,M,HU,Miskolc,Budapest
Celestin Mato Medović,1857,1920,M,HR,Kuna na Pelješcu,Sarajevo
Sándor Papp,1868,1937,M,HU,Deușu,Timișoara
Imre Durkó,1869,1928,M,HU,Békés,Budapest
Károly Wolf,1869,1944,M,HU,Pâncota,Arad
Ludwig Eberle,1883,1956,M,DE,Bad Grönenbach,Bad Grönenbach
Bruno Goldschmitt,1881,1964,M,DE,Nuremberg,Munich
Otto Grassl,1891,1976,M,DE,Munich,Dachau
Franz Heinrich Gref,1872,1957,M,DE,Stühlingen,Weilim Dorf
Rudolf Hesse,1871,1944,M,DE,Saarlouis,Munich
Gyula Túry,1866,1932,M,HU,Cegléd,Budapest
Frigyes Borszéky,1880,1955,M,HU,Megyaszó,Budapest
Berthold Garzó,1882,1959,M,HU,Užgorod,Budapest
Emil László Baranszky,1877,1941,M,HU,Banatska Palanka,Budapest
Joso Bužan,1873,1963,M,HR,Sisak,Zagreb
Zsófia Strobl,1860,1941,F,HU,Krakow,Budapest
Béla Dery,1870,1932,M,HU,Budapest,Budapest
Otto Altenkirch,1875,1945,M,DE,Ziesar,Siebenlehn
Frederic Clay Bartlett,1873,1953,M,US,Chicago,"Beverly, Massachusetts"
Lothar Bechstein,1884,1936,M,CH,Solothurn,Munich
Giulio Beda,1879,1954,M,IT,Trieste,Dachau
Zoltán Szentmiklóssy,1878,1916,M,HU,Komárom,Budapest
Fritz Berz,1883,1966,M,DE,Munich,Munich
Ede Rinyi,1851,1917,M,SK,Malý Lipník,Prakovce
Paul Burckhardt,1880,1961,M,CH,Rüti,Basel
Antal Zilzer,1860,1921,M,HU,Pest,Budapest
Christian Friedrich Conradin,1875,1917,M,CH,Chur,Zurich
